"Code","Primary Role Name","Geographic Local Authority Name"
"DTT03","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"DTT04","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"NL52U","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"NLG27","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"DWL01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"DGJ20","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DGJ21","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DGJ22","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"DGJ23","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"DGJ24","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DGJ25","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DGJ26","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"NCN1A","INDEPENDENT SECTOR H/C PROVIDER SITE","SEFTON METROPOLITAN BOROUGH COUNCIL"
"DGJ27","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"NEMAF","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NXX4W","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"DWM01","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"DWM02","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"NYNBY","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"NYNCB","INDEPENDENT SECTOR H/C PROVIDER SITE","WORCESTERSHIRE COUNTY COUNCIL"
"DWN01","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DWN02","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DWN03","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DGJ28","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NV14T","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARROW"
"DWP01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NGU11","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD"
"NMS02","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"DWQ01","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DWQ02","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"DWQ03","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"NV14U","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"NWE0E","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"DWR01","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NVC0Y","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"NFC0K","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"DGJ30","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"DGJ31","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"DGJ32","INDEPENDENT SECTOR H/C PROVIDER SITE","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"DWT01","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"DWV01","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"DWV02","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WOLVERHAMPTON COUNCIL"
"DWV03","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"NXX4X","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"NO00U","INDEPENDENT SECTOR H/C PROVIDER SITE","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"NEMAG","INDEPENDENT SECTOR H/C PROVIDER SITE","WIGAN METROPOLITAN BOROUGH COUNCIL"
"DK002","INDEPENDENT SECTOR H/C PROVIDER SITE","SANDWELL METROPOLITAN BOROUGH COUNCIL"
"NXX4Y","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH SOMERSET COUNCIL"
"NYNCI","INDEPENDENT SECTOR H/C PROVIDER SITE","CAMBRIDGESHIRE COUNTY COUNCIL"
"NVC0B","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"NBG6T","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NBG6U","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF WANDSWORTH"
"NBG6V","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"NLG28","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NPG14","INDEPENDENT SECTOR H/C PROVIDER SITE","HALTON BOROUGH COUNCIL"
"NTG0E","INDEPENDENT SECTOR H/C PROVIDER SITE","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"NV60Q","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NPG15","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"DWW01","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"DWX01","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"DWY01","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BARNET"
"NO05V","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NO05W","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NTG0F","INDEPENDENT SECTOR H/C PROVIDER SITE","CENTRAL BEDFORDSHIRE COUNCIL"
"DX001","INDEPENDENT SECTOR H/C PROVIDER SITE","COVENTRY CITY COUNCIL"
"NVX37","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF SOUTHWARK"
"NVX38","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF SOUTHWARK"
"DKE0G","INDEPENDENT SECTOR H/C PROVIDER SITE","STAFFORDSHIRE COUNTY COUNCIL"
"NT90B","INDEPENDENT SECTOR H/C PROVIDER SITE","DARLINGTON BOROUGH COUNCIL"
"NT90C","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HILLINGDON"
"NT90D","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NV60R","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NV60S","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NV60T","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NCNEM","INDEPENDENT SECTOR H/C PROVIDER SITE","WORCESTERSHIRE COUNTY COUNCIL"
"DX101","INDEPENDENT SECTOR H/C PROVIDER SITE","OXFORDSHIRE COUNTY COUNCIL"
"DX201","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"DX102","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"DX301","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"DX302","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"DX303","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"NQT3B","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT3I","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT3O","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT3S","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT3U","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT4B","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NQT4I","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NYNCO","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTH GLOUCESTERSHIRE COUNCIL"
"NYNCS","INDEPENDENT SECTOR H/C PROVIDER SITE","WARWICKSHIRE COUNTY COUNCIL"
"NYNCU","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"DX401","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DX402","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DX403","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DX404","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DX405","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DX501","INDEPENDENT SECTOR H/C PROVIDER SITE","RUTLAND COUNTY COUNCIL"
"DX601","INDEPENDENT SECTOR H/C PROVIDER SITE","WOKINGHAM BOROUGH COUNCIL"
"DMV02","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHEND-ON-SEA BOROUGH COUNCIL"
"NRP58","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NY6M6","INDEPENDENT SECTOR H/C PROVIDER SITE","SHROPSHIRE COUNCIL"
"NMG0H","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"AQG06","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"AQG07","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"AQG08","INDEPENDENT SECTOR H/C PROVIDER SITE","SURREY COUNTY COUNCIL"
"NNJ11","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NNJ12","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NNJ13","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NNJ14","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NNJ15","INDEPENDENT SECTOR H/C PROVIDER SITE","RUTLAND COUNTY COUNCIL"
"DX502","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"DGJ33","INDEPENDENT SECTOR H/C PROVIDER SITE","TAMESIDE METROPOLITAN BOROUGH COUNCIL"
"NR328","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAM CITY COUNCIL"
"NVX39","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BROMLEY"
"NTX52","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DJ202","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"DJ203","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"DJ204","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"DJ205","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"DJ206","INDEPENDENT SECTOR H/C PROVIDER SITE","HAMPSHIRE COUNTY COUNCIL"
"NQT4S","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"DX701","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NVX40","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NVX41","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"NVX42","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF EALING"
"NDC18","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAM CITY COUNCIL"
"NHT0T","INDEPENDENT SECTOR H/C PROVIDER SITE","STOKE-ON-TRENT CITY COUNCIL"
"NBW02","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NBW03","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NBW04","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NBW05","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NQT4O","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE WEST AND CHESTER COUNCIL"
"NFC0L","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"NFC0M","INDEPENDENT SECTOR H/C PROVIDER SITE","COVENTRY CITY COUNCIL"
"NFC0N","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBY CITY COUNCIL"
"NWE0F","INDEPENDENT SECTOR H/C PROVIDER SITE","PLYMOUTH CITY COUNCIL"
"NO05X","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NXX5A","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"NXX5B","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NXX5C","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF LAMBETH"
"NXX5D","INDEPENDENT SECTOR H/C PROVIDER SITE","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"NT90E","INDEPENDENT SECTOR H/C PROVIDER SITE","WREXHAM UA"
"R0B","NHS TRUST","SUNDERLAND CITY COUNCIL"
"NYG41","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"NYG42","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DX801","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"DX802","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"DX901","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"AXT05","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH NORTHAMPTONSHIRE COUNCIL"
"NFO42","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NWV0B","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"NY6M7","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NCF08","INDEPENDENT SECTOR H/C PROVIDER SITE","MILTON KEYNES COUNCIL"
"NCN1B","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF BRENT"
"NCN1C","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARROW"
"NCN1D","INDEPENDENT SECTOR H/C PROVIDER SITE","MEDWAY COUNCIL"
"NCN1E","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DXA01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"NBG6W","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"NBG6X","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DXC01","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAM CITY COUNCIL"
"DXC02","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"DXC03","INDEPENDENT SECTOR H/C PROVIDER SITE","MANCHESTER CITY COUNCIL"
"DXC04","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST NORTHAMPTONSHIRE COUNCIL"
"DXC05","INDEPENDENT SECTOR H/C PROVIDER SITE","SHEFFIELD CITY COUNCIL"
"DXC06","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DXC07","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"DXC08","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"DXC09","INDEPENDENT SECTOR H/C PROVIDER SITE","BATH AND NORTH EAST SOMERSET COUNCIL"
"NCS04","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"NCS05","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"DDV3N","INDEPENDENT SECTOR H/C PROVIDER SITE","TAMESIDE METROPOLITAN BOROUGH COUNCIL"
"DDV3O","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DDV3P","INDEPENDENT SECTOR H/C PROVIDER SITE","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"DDV3Q","INDEPENDENT SECTOR H/C PROVIDER SITE","BOLTON METROPOLITAN BOROUGH COUNCIL"
"DDV3R","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKPORT METROPOLITAN BOROUGH COUNCIL"
"DDV3S","INDEPENDENT SECTOR H/C PROVIDER SITE","TAMESIDE METROPOLITAN BOROUGH COUNCIL"
"NV30F","INDEPENDENT SECTOR H/C PROVIDER SITE","SWINDON BOROUGH COUNCIL"
"DMF02","INDEPENDENT SECTOR H/C PROVIDER SITE","BLACKBURN WITH DARWEN BOROUGH COUNCIL"
"NTG0G","INDEPENDENT SECTOR H/C PROVIDER SITE","SALFORD CITY COUNCIL"
"NL53B","INDEPENDENT SECTOR H/C PROVIDER SITE","WORCESTERSHIRE COUNTY COUNCIL"
"NO05Y","INDEPENDENT SECTOR H/C PROVIDER SITE","SHROPSHIRE COUNCIL"
"DXD01","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"DXD02","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"DXD03","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"NBG6Y","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBYSHIRE COUNTY COUNCIL"
"DXE01","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DXE02","INDEPENDENT SECTOR H/C PROVIDER SITE","SUFFOLK COUNTY COUNCIL"
"DXE03","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"DXE04","INDEPENDENT SECTOR H/C PROVIDER SITE","NORFOLK COUNTY COUNCIL"
"DXE05","INDEPENDENT SECTOR H/C PROVIDER SITE","SUFFOLK COUNTY COUNCIL"
"DXF01","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DXF02","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"DXF03","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTER CITY COUNCIL"
"NX10F","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NEMAH","INDEPENDENT SECTOR H/C PROVIDER SITE","CHESHIRE EAST COUNCIL"
"NX10G","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NBG7A","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NBG7B","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
"NX10H","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HOUNSLOW"
"NBG7C","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"NY6M8","INDEPENDENT SECTOR H/C PROVIDER SITE","LANCASHIRE COUNTY COUNCIL"
"NPG16","INDEPENDENT SECTOR H/C PROVIDER SITE","ESSEX COUNTY COUNCIL"
"DQJ02","INDEPENDENT SECTOR H/C PROVIDER SITE","LINCOLNSHIRE COUNTY COUNCIL"
"DXG01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"DXH01","INDEPENDENT SECTOR H/C PROVIDER SITE","WOKINGHAM BOROUGH COUNCIL"
"NBG7D","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF MERTON"
"NBG7E","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"DXA02","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST BERKSHIRE COUNCIL"
"NQAC5","INDEPENDENT SECTOR H/C PROVIDER SITE","SOUTHEND-ON-SEA BOROUGH COUNCIL"
"NNV2V","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KINGSTON UPON THAMES"
"DXJ02","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF REDBRIDGE"
"NCN1F","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARROW"
"NCN1G","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF HARROW"
"AP203","INDEPENDENT SECTOR H/C PROVIDER SITE","EAST SUSSEX COUNTY COUNCIL"
"DXK01","INDEPENDENT SECTOR H/C PROVIDER SITE","READING BOROUGH COUNCIL"
"DXK02","INDEPENDENT SECTOR H/C PROVIDER SITE","HEREFORDSHIRE COUNCIL"
"DXK03","INDEPENDENT SECTOR H/C PROVIDER SITE","LIVERPOOL CITY COUNCIL"
"DXK04","INDEPENDENT SECTOR H/C PROVIDER SITE","SEFTON METROPOLITAN BOROUGH COUNCIL"
"DXK05","INDEPENDENT SECTOR H/C PROVIDER SITE","DURHAM COUNTY COUNCIL"
"DXK06","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF YORK COUNCIL"
"DXK07","INDEPENDENT SECTOR H/C PROVIDER SITE","NOTTINGHAMSHIRE COUNTY COUNCIL"
"DXK08","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF CAMDEN"
"DXK09","INDEPENDENT SECTOR H/C PROVIDER SITE","DUDLEY METROPOLITAN BOROUGH COUNCIL"
"DXK0A","INDEPENDENT SECTOR H/C PROVIDER SITE","PETERBOROUGH CITY COUNCIL"
"DXK0B","INDEPENDENT SECTOR H/C PROVIDER SITE","DEVON COUNTY COUNCIL"
"DXK0C","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"DXL01","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"DXL02","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"AAT38","INDEPENDENT SECTOR H/C PROVIDER SITE","SLOUGH BOROUGH COUNCIL"
"NBG7F","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF MERTON"
"DXM01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WOLVERHAMPTON COUNCIL"
"DAC02","INDEPENDENT SECTOR H/C PROVIDER SITE","STOCKTON-ON-TEES BOROUGH COUNCIL"
"NYG43","INDEPENDENT SECTOR H/C PROVIDER SITE","WEST SUSSEX COUNTY COUNCIL"
"DXL03","INDEPENDENT SECTOR H/C PROVIDER SITE","HERTFORDSHIRE COUNTY COUNCIL"
"NHT0U","INDEPENDENT SECTOR H/C PROVIDER SITE","LONDON BOROUGH OF SOUTHWARK"
"NVX43","INDEPENDENT SECTOR H/C PROVIDER SITE","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"NV14V","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WESTMINSTER"
"NV14W","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"NV14X","INDEPENDENT SECTOR H/C PROVIDER SITE","LEEDS CITY COUNCIL"
"NMJ1D","INDEPENDENT SECTOR H/C PROVIDER SITE","KENT COUNTY COUNCIL"
"DXM02","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBY CITY COUNCIL"
"NWV0D","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"NMJ1C","INDEPENDENT SECTOR H/C PROVIDER SITE","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"NBG7G","INDEPENDENT SECTOR H/C PROVIDER SITE","DERBY CITY COUNCIL"
"NTPX4","INDEPENDENT SECTOR H/C PROVIDER SITE","NORTH EAST LINCOLNSHIRE COUNCIL"
"NEP2I","INDEPENDENT SECTOR H/C PROVIDER SITE","NEWCASTLE CITY COUNCIL"
"DXK10","INDEPENDENT SECTOR H/C PROVIDER SITE","OXFORDSHIRE COUNTY COUNCIL"
"DXN01","INDEPENDENT SECTOR H/C PROVIDER SITE","CITY OF WOLVERHAMPTON COUNCIL"
"DXN02","INDEPENDENT SECTOR H/C PROVIDER SITE","BIRMINGHAM CITY COUNCIL"
"ARM02","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"ARM03","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"ARM04","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"ARM0A","INDEPENDENT SECTOR H/C PROVIDER SITE","GLOUCESTERSHIRE COUNTY COUNCIL"
"NGU12","INDEPENDENT SECTOR H/C PROVIDER SITE","BRISTOL CITY COUNCIL"
"NYNDB","INDEPENDENT SECTOR H/C PROVIDER SITE","RUTLAND COUNTY COUNCIL"
"NYNDU","INDEPENDENT SECTOR H/C PROVIDER SITE","LEICESTERSHIRE COUNTY COUNCIL"
